Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Field13,Field14,Field15,Field16,Field17
Bükkszék,Heves megye,Heves megye 2. számú egyéni választókerület,Gyöngyös,"2","2","294095.43","1426893333.66",,,,,,,,,
Bükkszenterzsébet,Heves megye,Heves megye 2. számú egyéni választókerület,Gyöngyös,"2","2","294095.43","1426893333.66",,,,,,,,,
Bükkszentkereszt,Borsod-Abaúj-Zemplén megye,Borsod-Abaúj-Zemplén megye 7. számú egyéni választókerület,Mez_kövesd,"7","7","232800.3","1529604398.87",,,,,,,,,
Bükkszentmárton,Heves megye,Heves megye 2. számú egyéni választókerület,Gyöngyös,"2","2","294095.43","1426893333.66",,,,,,,,,
Bükkzsérc,Borsod-Abaúj-Zemplén megye,Borsod-Abaúj-Zemplén megye 7. számú egyéni választókerület,Mez_kövesd,"7","7","232800.3","1529604398.87",,,,,,,,,
Bürüs,Baranya megye,Baranya megye 4. számú egyéni választókerület,Szigetvár,"4","4","345095.83","2252765413.9",,,,,,,,,
Büssü,Somogy megye,Somogy megye 4. számú egyéni választókerület,Siófok,"4","4","241496.61","1517737700.32",,,,,,,,,
Büttös,Borsod-Abaúj-Zemplén megye,Borsod-Abaúj-Zemplén megye 4. számú egyéni választókerület,Kazincbarcika,"4","4","256041.3","1154765077.9",,,,,,,,,
Cák,Vas megye,Vas megye 2. számú egyéni választókerület,Sárvár,"2","2","257181.03","1198863917.81",,,,,,,,,
Cakóháza,Gy?r-Moson-Sopron megye,Győr-Moson-Sopron megye 5. számú egyéni választókerület,Mosonmagyaróvár,"5","5","192506.63","1106619646.19",,,,,,,,,
Cece,Fejér megye,Fejér megye 5. számú egyéni választókerület,Sárbogárd,"5","5","261753.76","1737547515.9",,,,,,,,,
Cégénydányád,Szabolcs-Szatmár-Bereg megye,Szabolcs-Szatmár-Bereg megye 4. számú egyéni választókerület,Vásárosnamény,"4","4","305849.6","1461029130.12",,,,,,,,,
Cegléd,Pest megye,Pest megye 12. számú egyéni választókerület,Cegléd,"12","12","154034.17","1022178507.64",,,,,,,,,
Ceglédbercel,Pest megye,Pest megye 10. számú egyéni választókerület,Monor,"10","10","174608.84","822113260.42",,,,,,,,,
Celldömölk,Vas megye,Vas megye 2. számú egyéni választókerület,Sárvár,"2","2","257181.03","1198863917.81",,,,,,,,,
Cered,Nógrád megye,Nógrád megye 1. számú egyéni választókerület,Salgótarján,"1","1","245875.8","952705607.42",,,,,,,,,
Chernelházadamonya,Vas megye,Vas megye 2. számú egyéni választókerület,Sárvár,"2","2","257181.03","1198863917.81",,,,,,,,,
Cibakháza,Jász-Nagykun-Szolnok megye,Jász-Nagykun-Szolnok megye 4. számú egyéni választókerület,Törökszentmiklós,"4","4","282833.03","1518894211.23",,,,,,,,,
Cigánd,Borsod-Abaúj-Zemplén megye,Borsod-Abaúj-Zemplén megye 5. számú egyéni választókerület,Sátoraljaújhely,"5","5","356364.78","1981433741.63",,,,,,,,,
Cikó,Tolna megye,Tolna megye 2. számú egyéni választókerület,Dombóvár,"2","2","338191.78","1375219759.46",,,,,,,,,
Cirák,Gy?r-Moson-Sopron megye,Győr-Moson-Sopron megye 3. számú egyéni választókerület,Csorna,"3","3","278671.79","1458283441.58",,,,,,,,,
Csabacsűd,Békés megye,Békés megye 2. számú egyéni választókerület,Békés,"2","2","301741.74","1712972309.7",,,,,,,,,
Csabaszabadi,Békés megye,Békés megye 1. számú egyéni választókerület,Békéscsaba,"1","1","172584.94","714024939.51",,,,,,,,,
Csabdi,Fejér megye,Fejér megye 3. számú egyéni választókerület,Bicske,"3","3","219689.81","1205529615.78",,,,,,,,,
Csabrendek,Veszprém megye,Veszprém megye 3. számú egyéni választókerület,Tapolca,"3","3","233150.16","1119123839.6",,,,,,,,,
Csáfordjánosfa,Gy?r-Moson-Sopron megye,Győr-Moson-Sopron megye 3. számú egyéni választókerület,Csorna,"3","3","278671.79","1458283441.58",,,,,,,,,
Csaholc,Szabolcs-Szatmár-Bereg megye,Szabolcs-Szatmár-Bereg megye 4. számú egyéni választókerület,Vásárosnamény,"4","4","305849.6","1461029130.12",,,,,,,,,
Csajág,Veszprém megye,Veszprém megye 2. számú egyéni választókerület,Balatonfüred,"2","2","217008.7","908769512.27",,,,,,,,,
Csákány,Somogy megye,Somogy megye 3. számú egyéni választókerület,Marcali,"3","3","241544.76","1849815082.56",,,,,,,,,
Csákánydoroszló,Vas megye,Vas megye 3. számú egyéni választókerület,Körmend,"3","3","382801.59","1908928151.62",,,,,,,,,
Csákberény,Fejér megye,Fejér megye 2. számú egyéni választókerület,Székesfehérvár,"2","2","188213.17","882699117.23",,,,,,,,,
Csákvár,Fejér megye,Fejér megye 3. számú egyéni választókerület,Bicske,"3","3","219689.81","1205529615.78",,,,,,,,,
Csanádalberti,Csongrád megye,Csongrád megye 4. számú egyéni választókerület,Hódmez?vásárhely,"4","4","226575.24","1412615266.57",,,,,,,,,
Csanádapáca,Békés megye,Békés megye 4. számú egyéni választókerület,Orosháza,"4","4","243942.22","1650630924.98",,,,,,,,,
Csanádpalota,Csongrád megye,Csongrád megye 4. számú egyéni választókerület,Hódmez?vásárhely,"4","4","226575.24","1412615266.57",,,,,,,,,
Csánig,Vas megye,Vas megye 2. számú egyéni választókerület,Sárvár,"2","2","257181.03","1198863917.81",,,,,,,,,
Csány,Heves megye,Heves megye 3. számú egyéni választókerület,Hatvan,"3","3","300580.69","1165920670.41",,,,,,,,,
Csányoszró,Baranya megye,Baranya megye 4. számú egyéni választókerület,Szigetvár,"4","4","345095.83","2252765413.9",,,,,,,,,
Csanytelek,Csongrád megye,Csongrád megye 3. számú egyéni választókerület,Szentes,"3","3","253630.48","1781500633.79",,,,,,,,,
Csapi,Zala megye,Zala megye 3. számú egyéni választókerület,Nagykanizsa,"3","3","239771.43","1265849395.02",,,,,,,,,
Csapod,Gy?r-Moson-Sopron megye,Győr-Moson-Sopron megye 3. számú egyéni választókerület,Csorna,"3","3","278671.79","1458283441.58",,,,,,,,,
Csárdaszállás,Békés megye,Békés megye 2. számú egyéni választókerület,Békés,"2","2","301741.74","1712972309.7",,,,,,,,,
Csarnóta,Baranya megye,Baranya megye 4. számú egyéni választókerület,Szigetvár,"4","4","345095.83","2252765413.9",,,,,,,,,
Csaroda,Szabolcs-Szatmár-Bereg megye,Szabolcs-Szatmár-Bereg megye 4. számú egyéni választókerület,Vásárosnamény,"4","4","305849.6","1461029130.12",,,,,,,,,
Császár,Komárom-Esztergom megye,Komárom-Esztergom megye 3. számú egyéni választókerület,Komárom,"3","3","253759.54","1335519263.56",,,,,,,,,
Császártöltés,Bács-Kiskun megye,Bács-Kiskun megye 5. számú egyéni választókerület,Kiskunhalas,"5","5","260428.06","1888189855.92",,,,,,,,,
Császló,Szabolcs-Szatmár-Bereg megye,Szabolcs-Szatmár-Bereg megye 4. számú egyéni választókerület,Vásárosnamény,"4","4","305849.6","1461029130.12",,,,,,,,,
Csátalja,Bács-Kiskun megye,Bács-Kiskun megye 6. számú egyéni választókerület,Baja,"6","6","277807.08","1428092680.64",,,,,,,,,
Csatár,Zala megye,Zala megye 1. számú egyéni választókerület,Zalaegerszeg,"1","1","193709.35","1002171752.46",,,,,,,,,
Csataszög,Jász-Nagykun-Szolnok megye,Jász-Nagykun-Szolnok megye 1. számú egyéni választókerület,Szolnok,"1","1","202023.51","704327243.22",,,,,,,,,
Csatka,Komárom-Esztergom megye,Komárom-Esztergom megye 3. számú egyéni választókerület,Komárom,"3","3","253759.54","1335519263.56",,,,,,,,,
Csávoly,Bács-Kiskun megye,Bács-Kiskun megye 6. számú egyéni választókerület,Baja,"6","6","277807.08","1428092680.64",,,,,,,,,
Csebény,Baranya megye,Baranya megye 4. számú egyéni választókerület,Szigetvár,"4","4","345095.83","2252765413.9",,,,,,,,,
Csécse,Nógrád megye,Nógrád megye 1. számú egyéni választókerület,Salgótarján,"1","1","245875.8","952705607.42",,,,,,,,,
Csegöld,Szabolcs-Szatmár-Bereg megye,Szabolcs-Szatmár-Bereg megye 4. számú egyéni választókerület,Vásárosnamény,"4","4","305849.6","1461029130.12",,,,,,,,,
Csehbánya,Veszprém megye,Veszprém megye 1. számú egyéni választókerület,Veszprém,"1","1","195803.99","767050984.35",,,,,,,,,
Csehi,Vas megye,Vas megye 3. számú egyéni választókerület,Körmend,"3","3","382801.59","1908928151.62",,,,,,,,,
Csehimindszent,Vas megye,Vas megye 3. számú egyéni választókerület,Körmend,"3","3","382801.59","1908928151.62",,,,,,,,,
Csém,Komárom-Esztergom megye,Komárom-Esztergom megye 3. számú egyéni választókerület,Komárom,"3","3","253759.54","1335519263.56",,,,,,,,,
Csemő,Pest megye,Pest megye 12. számú egyéni választókerület,Cegléd,"12","12","154034.17","1022178507.64",,,,,,,,,
Csempeszkopács,Vas megye,Vas megye 3. számú egyéni választókerület,Körmend,"3","3","382801.59","1908928151.62",,,,,,,,,
Csengele,Csongrád megye,Csongrád megye 3. számú egyéni választókerület,Szentes,"3","3","253630.48","1781500633.79",,,,,,,,,
Csenger,Szabolcs-Szatmár-Bereg megye,Szabolcs-Szatmár-Bereg megye 5. számú egyéni választókerület,Mátészalka,"5","5","250856.48","1030794528.1",,,,,,,,,
Csengersima,Szabolcs-Szatmár-Bereg megye,Szabolcs-Szatmár-Bereg megye 5. számú egyéni választókerület,Mátészalka,"5","5","250856.48","1030794528.1",,,,,,,,,
Csengerújfalu,Szabolcs-Szatmár-Bereg megye,Szabolcs-Szatmár-Bereg megye 5. számú egyéni választókerület,Mátészalka,"5","5","250856.48","1030794528.1",,,,,,,,,
Csengőd,Bács-Kiskun megye,Bács-Kiskun megye 3. számú egyéni választókerület,Kalocsa,"3","3","241811.87","1478945666.42",,,,,,,,,
Csénye,Vas megye,Vas megye 2. számú egyéni választókerület,Sárvár,"2","2","257181.03","1198863917.81",,,,,,,,,
Csenyéte,Borsod-Abaúj-Zemplén megye,Borsod-Abaúj-Zemplén megye 4. számú egyéni választókerület,Kazincbarcika,"4","4","256041.3","1154765077.9",,,,,,,,,
Csép,Komárom-Esztergom megye,Komárom-Esztergom megye 3. számú egyéni választókerület,Komárom,"3","3","253759.54","1335519263.56",,,,,,,,,
Csépa,Jász-Nagykun-Szolnok megye,Jász-Nagykun-Szolnok megye 4. számú egyéni választókerület,Törökszentmiklós,"4","4","282833.03","1518894211.23",,,,,,,,,
Csepreg,Vas megye,Vas megye 2. számú egyéni választókerület,Sárvár,"2","2","257181.03","1198863917.81",,,,,,,,,
Csér,Gy?r-Moson-Sopron megye,Győr-Moson-Sopron megye 3. számú egyéni választókerület,Csorna,"3","3","278671.79","1458283441.58",,,,,,,,,
Cserdi,Baranya megye,Baranya megye 4. számú egyéni választókerület,Szigetvár,"4","4","345095.83","2252765413.9",,,,,,,,,
Cserénfa,Somogy megye,Somogy megye 1. számú egyéni választókerület,Kaposvár,"1","1","143305.26","493665613.17",,,,,,,,,
Cserépfalu,Borsod-Abaúj-Zemplén megye,Borsod-Abaúj-Zemplén megye 7. számú egyéni választókerület,Mez_kövesd,"7","7","232800.3","1529604398.87",,,,,,,,,
Cserépváralja,Borsod-Abaúj-Zemplén megye,Borsod-Abaúj-Zemplén megye 7. számú egyéni választókerület,Mez_kövesd,"7","7","232800.3","1529604398.87",,,,,,,,,
Cserháthaláp,Nógrád megye,Nógrád megye 2. számú egyéni választókerület,Balassagyarmat,"2","2","314177.45","1591479363.16",,,,,,,,,
Cserhátsurány,Nógrád megye,Nógrád megye 2. számú egyéni választókerület,Balassagyarmat,"2","2","314177.45","1591479363.16",,,,,,,,,
Cserhátszentiván,Nógrád megye,Nógrád megye 1. számú egyéni választókerület,Salgótarján,"1","1","245875.8","952705607.42",,,,,,,,,
Cserkeszőlő,Jász-Nagykun-Szolnok megye,Jász-Nagykun-Szolnok megye 4. számú egyéni választókerület,Törökszentmiklós,"4","4","282833.03","1518894211.23",,,,,,,,,
Cserkút,Baranya megye,Baranya megye 2. számú egyéni választókerület,Pécs,"2","2","160289.34","344699531.57",,,,,,,,,
Csernely,Borsod-Abaúj-Zemplén megye,Borsod-Abaúj-Zemplén megye 3. számú egyéni választókerület,Ózd,"3","3","257092.76","1189961968.61",,,,,,,,,
Cserszegtomaj,Zala megye,Zala megye 2. számú egyéni választókerület,Zalaegerszeg,"2","2","237580.31","1515462580",,,,,,,,,
Csertalakos,Zala megye,Zala megye 3. számú egyéni választókerület,Nagykanizsa,"3","3","239771.43","1265849395.02",,,,,,,,,
Csertő,Baranya megye,Baranya megye 4. számú egyéni választókerület,Szigetvár,"4","4","345095.83","2252765413.9",,,,,,,,,
Csesznek,Veszprém megye,Veszprém megye 4. számú egyéni választókerület,Pápa,"4","4","327462.86","1667936709.63",,,,,,,,,
Csesztreg,Zala megye,Zala megye 1. számú egyéni választókerület,Zalaegerszeg,"1","1","193709.35","1002171752.46",,,,,,,,,
Csesztve,Nógrád megye,Nógrád megye 2. számú egyéni választókerület,Balassagyarmat,"2","2","314177.45","1591479363.16",,,,,,,,,
Csetény,Veszprém megye,Veszprém megye 1. számú egyéni választókerület,Veszprém,"1","1","195803.99","767050984.35",,,,,,,,,
Csévharaszt,Pest megye,Pest megye 10. számú egyéni választókerület,Monor,"10","10","174608.84","822113260.42",,,,,,,,,
Csibrák,Tolna megye,Tolna megye 2. számú egyéni választókerület,Dombóvár,"2","2","338191.78","1375219759.46",,,,,,,,,
Csikéria,Bács-Kiskun megye,Bács-Kiskun megye 5. számú egyéni választókerület,Kiskunhalas,"5","5","260428.06","1888189855.92",,,,,,,,,
Csikóstőttős,Tolna megye,Tolna megye 2. számú egyéni választókerület,Dombóvár,"2","2","338191.78","1375219759.46",,,,,,,,,
Csikvánd,Gy?r-Moson-Sopron megye,Győr-Moson-Sopron megye 3. számú egyéni választókerület,Csorna,"3","3","278671.79","1458283441.58",,,,,,,,,
Csincse,Borsod-Abaúj-Zemplén megye,Borsod-Abaúj-Zemplén megye 7. számú egyéni választókerület,Mez_kövesd,"7","7","232800.3","1529604398.87",,,,,,,,,
Csipkerek,Vas megye,Vas megye 3. számú egyéni választókerület,Körmend,"3","3","382801.59","1908928151.62",,,,,,,,,
Csitár,Nógrád megye,Nógrád megye 2. számú egyéni választókerület,Balassagyarmat,"2","2","314177.45","1591479363.16",,,,,,,,,
Csobád,Borsod-Abaúj-Zemplén megye,Borsod-Abaúj-Zemplén megye 4. számú egyéni választókerület,Kazincbarcika,"4","4","256041.3","1154765077.9",,,,,,,,,
Csobaj,Borsod-Abaúj-Zemplén megye,Borsod-Abaúj-Zemplén megye 6. számú egyéni választókerület,Tiszaújváros,"6","6","254720.86","991918862.39",,,,,,,,,
Csobánka,Pest megye,Pest megye 3. számú egyéni választókerület,Szentendre,"3","3","93314","382661875.28",,,,,,,,,
Csókakő,Fejér megye,Fejér megye 2. számú egyéni választókerület,Székesfehérvár,"2","2","188213.17","882699117.23",,,,,,,,,
Csokonyavisonta,Somogy megye,Somogy megye 2. számú egyéni választókerület,Barcs,"2","2","385864.8","2203431215.28",,,,,,,,,
Csokvaomány,Borsod-Abaúj-Zemplén megye,Borsod-Abaúj-Zemplén megye 3. számú egyéni választókerület,Ózd,"3","3","257092.76","1189961968.61",,,,,,,,,
Csolnok,Komárom-Esztergom megye,Komárom-Esztergom megye 2. számú egyéni választókerület,Esztergom,"2","2","143042.5","706084275.66",,,,,,,,,
Csólyospálos,Bács-Kiskun megye,Bács-Kiskun megye 4. számú egyéni választókerület,Kiskunfélegyháza,"4","4","324422.08","1876316923.88",,,,,,,,,
Csoma,Somogy megye,Somogy megye 1. számú egyéni választókerület,Kaposvár,"1","1","143305.26","493665613.17",,,,,,,,,
Csomád,Pest megye,Pest megye 5. számú egyéni választókerület,Dunakeszi,"5","5","88157.37","160164457.87",,,,,,,,,
Csombárd,Somogy megye,Somogy megye 3. számú egyéni választókerület,Marcali,"3","3","241544.76","1849815082.56",,,,,,,,,
Csongrád,Csongrád megye,Csongrád megye 3. számú egyéni választókerület,Szentes,"3","3","253630.48","1781500633.79",,,,,,,,,
Csonkahegyhát,Zala megye,Zala megye 1. számú egyéni választókerület,Zalaegerszeg,"1","1","193709.35","1002171752.46",,,,,,,,,
Csonkamindszent,Baranya megye,Baranya megye 4. számú egyéni választókerület,Szigetvár,"4","4","345095.83","2252765413.9",,,,,,,,,
Csopak,Veszprém megye,Veszprém megye 2. számú egyéni választókerület,Balatonfüred,"2","2","217008.7","908769512.27",,,,,,,,,
Csór,Fejér megye,Fejér megye 2. számú egyéni választókerület,Székesfehérvár,"2","2","188213.17","882699117.23",,,,,,,,,
Csorna,Gy?r-Moson-Sopron megye,Győr-Moson-Sopron megye 3. számú egyéni választókerület,Csorna,"3","3","278671.79","1458283441.58",,,,,,,,,
Csorvás,Békés megye,Békés megye 1. számú egyéni választókerület,Békéscsaba,"1","1","172584.94","714024939.51",,,,,,,,,
Csót,Veszprém megye,Veszprém megye 4. számú egyéni választókerület,Pápa,"4","4","327462.86","1667936709.63",,,,,,,,,
Csöde,Zala megye,Zala megye 1. számú egyéni választókerület,Zalaegerszeg,"1","1","193709.35","1002171752.46",,,,,,,,,
Csögle,Veszprém megye,Veszprém megye 4. számú egyéni választókerület,Pápa,"4","4","327462.86","1667936709.63",,,,,,,,,
Csökmő,Hajdú-Bihar megye,Hajdú-Bihar megye 4. számú egyéni választókerület,Berettyóújfalu,"4","4","248101.54","1787238898.67",,,,,,,,,
Csököly,Somogy megye,Somogy megye 2. számú egyéni választókerület,Barcs,"2","2","385864.8","2203431215.28",,,,,,,,,
Csömend,Somogy megye,Somogy megye 3. számú egyéni választókerület,Marcali,"3","3","241544.76","1849815082.56",,,,,,,,,
Csömödér,Zala megye,Zala megye 3. számú egyéni választókerület,Nagykanizsa,"3","3","239771.43","1265849395.02",,,,,,,,,
Csömör,Pest megye,Pest megye 5. számú egyéni választókerület,Dunakeszi,"5","5","88157.37","160164457.87",,,,,,,,,
Csönge,Vas megye,Vas megye 2. számú egyéni választókerület,Sárvár,"2","2","257181.03","1198863917.81",,,,,,,,,
Csörnyeföld,Zala megye,Zala megye 3. számú egyéni választókerület,Nagykanizsa,"3","3","239771.43","1265849395.02",,,,,,,,,
Csörög,Pest megye,Pest megye 4. számú egyéni választókerület,Vác,"4","4","203058.39","789686669.4",,,,,,,,,
Csörötnek,Vas megye,Vas megye 3. számú egyéni választókerület,Körmend,"3","3","382801.59","1908928151.62",,,,,,,,,
Csősz,Fejér megye,Fejér megye 5. számú egyéni választókerület,Sárbogárd,"5","5","261753.76","1737547515.9",,,,,,,,,
Csővár,Pest megye,Pest megye 4. számú egyéni választókerület,Vác,"4","4","203058.39","789686669.4",,,,,,,,,
Csurgó,Somogy megye,Somogy megye 2. számú egyéni választókerület,Barcs,"2","2","385864.8","2203431215.28",,,,,,,,,
Csurgónagymarton,Somogy megye,Somogy megye 2. számú egyéni választókerület,Barcs,"2","2","385864.8","2203431215.28",,,,,,,,,
Cún,Baranya megye,Baranya megye 4. számú egyéni választókerület,Szigetvár,"4","4","345095.83","2252765413.9",,,,,,,,,
Dabas,Pest megye,Pest megye 11. számú egyéni választókerület,Dabas,"11","11","169482.84","909250604.8",,,,,,,,,
Dabronc,Veszprém megye,Veszprém megye 3. számú egyéni választókerület,Tapolca,"3","3","233150.16","1119123839.6",,,,,,,,,
Dabrony,Veszprém megye,Veszprém megye 4. számú egyéni választókerület,Pápa,"4","4","327462.86","1667936709.63",,,,,,,,,
Dad,Komárom-Esztergom megye,Komárom-Esztergom megye 3. számú egyéni választókerület,Komárom,"3","3","253759.54","1335519263.56",,,,,,,,,
Dág,Komárom-Esztergom megye,Komárom-Esztergom megye 2. számú egyéni választókerület,Esztergom,"2","2","143042.5","706084275.66",,,,,,,,,
Dáka,Veszprém megye,Veszprém megye 4. számú egyéni választókerület,Pápa,"4","4","327462.86","1667936709.63",,,,,,,,,
Dalmand,Tolna megye,Tolna megye 2. számú egyéni választókerület,Dombóvár,"2","2","338191.78","1375219759.46",,,,,,,,,
Damak,Borsod-Abaúj-Zemplén megye,Borsod-Abaúj-Zemplén megye 4. számú egyéni választókerület,Kazincbarcika,"4","4","256041.3","1154765077.9",,,,,,,,,
Dámóc,Borsod-Abaúj-Zemplén megye,Borsod-Abaúj-Zemplén megye 5. számú egyéni választókerület,Sátoraljaújhely,"5","5","356364.78","1981433741.63",,,,,,,,,
Dánszentmiklós,Pest megye,Pest megye 10. számú egyéni választókerület,Monor,"10","10","174608.84","822113260.42",,,,,,,,,
Dány,Pest megye,Pest megye 9. számú egyéni választókerület,Nagykáta,"9","9","186619.94","913452399.81",,,,,,,,,
Daraboshegy,Vas megye,Vas megye 3. számú egyéni választókerület,Körmend,"3","3","382801.59","1908928151.62",,,,,,,,,
Darány,Somogy megye,Somogy megye 2. számú egyéni választókerület,Barcs,"2","2","385864.8","2203431215.28",,,,,,,,,
Darnó,Szabolcs-Szatmár-Bereg megye,Szabolcs-Szatmár-Bereg megye 4. számú egyéni választókerület,Vásárosnamény,"4","4","305849.6","1461029130.12",,,,,,,,,
Darnózseli,Gy?r-Moson-Sopron megye,Győr-Moson-Sopron megye 5. számú egyéni választókerület,Mosonmagyaróvár,"5","5","192506.63","1106619646.19",,,,,,,,,
Daruszentmiklós,Fejér megye,Fejér megye 5. számú egyéni választókerület,Sárbogárd,"5","5","261753.76","1737547515.9",,,,,,,,,
Darvas,Hajdú-Bihar megye,Hajdú-Bihar megye 4. számú egyéni választókerület,Berettyóújfalu,"4","4","248101.54","1787238898.67",,,,,,,,,
Dávod,Bács-Kiskun megye,Bács-Kiskun megye 6. számú egyéni választókerület,Baja,"6","6","277807.08","1428092680.64",,,,,,,,,
Debercsény,Nógrád megye,Nógrád megye 2. számú egyéni választókerület,Balassagyarmat,"2","2","314177.45","1591479363.16",,,,,,,,,
Debrecen,Hajdú-Bihar megye,Hajdú-Bihar megye 1. számú egyéni választókerület,Debrecen,"1","1","63835.31","153996462.23",,,,,,,,,
Debréte,Borsod-Abaúj-Zemplén megye,Borsod-Abaúj-Zemplén megye 4. számú egyéni választókerület,Kazincbarcika,"4","4","256041.3","1154765077.9",,,,,,,,,
Decs,Tolna megye,Tolna megye 1. számú egyéni választókerület,Szekszárd,"1","1","183808.64","836435692.1",,,,,,,,,
Dédestapolcsány,Borsod-Abaúj-Zemplén megye,Borsod-Abaúj-Zemplén megye 4. számú egyéni választókerület,Kazincbarcika,"4","4","256041.3","1154765077.9",,,,,,,,,
Dég,Fejér megye,Fejér megye 5. számú egyéni választókerület,Sárbogárd,"5","5","261753.76","1737547515.9",,,,,,,,,
Dejtár,Nógrád megye,Nógrád megye 2. számú egyéni választókerület,Balassagyarmat,"2","2","314177.45","1591479363.16",,,,,,,,,
Délegyháza,Pest megye,Pest megye 11. számú egyéni választókerület,Dabas,"11","11","169482.84","909250604.8",,,,,,,,,
Demecser,Szabolcs-Szatmár-Bereg megye,Szabolcs-Szatmár-Bereg megye 3. számú egyéni választókerület,Kisvárda,"3","3","214781.28","961349337.84",,,,,,,,,
Demjén,Heves megye,Heves megye 1. számú egyéni választókerület,Eger,"1","1","217370.11","1044337089.15",,,,,,,,,
Dencsháza,Baranya megye,Baranya megye 4. számú egyéni választókerület,Szigetvár,"4","4","345095.83","2252765413.9",,,,,,,,,
Dénesfa,Gy?r-Moson-Sopron megye,Győr-Moson-Sopron megye 3. számú egyéni választókerület,Csorna,"3","3","278671.79","1458283441.58",,,,,,,,,
Derecske,Hajdú-Bihar megye,Hajdú-Bihar megye 4. számú egyéni választókerület,Berettyóújfalu,"4","4","248101.54","1787238898.67",,,,,,,,,
Derekegyház,Csongrád megye,Csongrád megye 3. számú egyéni választókerület,Szentes,"3","3","253630.48","1781500633.79",,,,,,,,,
Deszk,Csongrád megye,Csongrád megye 1. számú egyéni választókerület,Szeged,"1","1","114685.88","253027073.97",,,,,,,,,
Detek,Borsod-Abaúj-Zemplén megye,Borsod-Abaúj-Zemplén megye 4. számú egyéni választókerület,Kazincbarcika,"4","4","256041.3","1154765077.9",,,,,,,,,
Detk,Heves megye,Heves megye 2. számú egyéni választókerület,Gyöngyös,"2","2","294095.43","1426893333.66",,,,,,,,,
Dévaványa,Békés megye,Békés megye 2. számú egyéni választókerület,Békés,"2","2","301741.74","1712972309.7",,,,,,,,,
Devecser,Veszprém megye,Veszprém megye 4. számú egyéni választókerület,Pápa,"4","4","327462.86","1667936709.63",,,,,,,,,
Dinnyeberki,Baranya megye,Baranya megye 4. számú egyéni választókerület,Szigetvár,"4","4","345095.83","2252765413.9",,,,,,,,,
Diósberény,Tolna megye,Tolna megye 2. számú egyéni választókerület,Dombóvár,"2","2","338191.78","1375219759.46",,,,,,,,,
Diósd,Pest megye,Pest megye 1. számú egyéni választókerület,Érd,"1","1","63111.74","156269406.13",,,,,,,,,
Diósjenő,Nógrád megye,Nógrád megye 2. számú egyéni választókerület,Balassagyarmat,"2","2","314177.45","1591479363.16",,,,,,,,,
Dióskál,Zala megye,Zala megye 2. számú egyéni választókerület,Zalaegerszeg,"2","2","237580.31","1515462580",,,,,,,,,
Diósviszló,Baranya megye,Baranya megye 4. számú egyéni választókerület,Szigetvár,"4","4","345095.83","2252765413.9",,,,,,,,,
Doba,Veszprém megye,Veszprém megye 4. számú egyéni választókerület,Pápa,"4","4","327462.86","1667936709.63",,,,,,,,,
Dobaipuszta,Hajdú-Bihar megye,Hajdú-Bihar megye 4. számú egyéni választókerület,Berettyóújfalu,"4","4","248101.54","1787238898.67",,,,,,,,,
Doboz,Békés megye,Békés megye 3. számú egyéni választókerület,Gyula,"3","3","346829.19","1552084181.41",,,,,,,,,
Dobri,Zala megye,Zala megye 3. számú egyéni választókerület,Nagykanizsa,"3","3","239771.43","1265849395.02",,,,,,,,,
Dobronhegy,Zala megye,Zala megye 1. számú egyéni választókerület,Zalaegerszeg,"1","1","193709.35","1002171752.46",,,,,,,,,
Dóc,Csongrád megye,Csongrád megye 3. számú egyéni választókerület,Szentes,"3","3","253630.48","1781500633.79",,,,,,,,,
Domaháza,Borsod-Abaúj-Zemplén megye,Borsod-Abaúj-Zemplén megye 3. számú egyéni választókerület,Ózd,"3","3","257092.76","1189961968.61",,,,,,,,,
Domaszék,Csongrád megye,Csongrád megye 2. számú egyéni választókerület,Szeged,"2","2","154914.43","815557155.25",,,,,,,,,
Dombegyház,Békés megye,Békés megye 4. számú egyéni választókerület,Orosháza,"4","4","243942.22","1650630924.98",,,,,,,,,
Dombiratos,Békés megye,Békés megye 4. számú egyéni választókerület,Orosháza,"4","4","243942.22","1650630924.98",,,,,,,,,
Dombóvár,Tolna megye,Tolna megye 2. számú egyéni választókerület,Dombóvár,"2","2","338191.78","1375219759.46",,,,,,,,,
Dombrád,Szabolcs-Szatmár-Bereg megye,Szabolcs-Szatmár-Bereg megye 3. számú egyéni választókerület,Kisvárda,"3","3","214781.28","961349337.84",,,,,,,,,
Domony,Pest megye,Pest megye 6. számú egyéni választókerület,Gödöll?,"6","6","151799.27","437040357.1",,,,,,,,,
Domoszló,Heves megye,Heves megye 2. számú egyéni választókerület,Gyöngyös,"2","2","294095.43","1426893333.66",,,,,,,,,
Dormánd,Heves megye,Heves megye 1. számú egyéni választókerület,Eger,"1","1","217370.11","1044337089.15",,,,,,,,,
Dorog,Komárom-Esztergom megye,Komárom-Esztergom megye 2. számú egyéni választókerület,Esztergom,"2","2","143042.5","706084275.66",,,,,,,,,
Dorogháza,Nógrád megye,Nógrád megye 1. számú egyéni választókerület,Salgótarján,"1","1","245875.8","952705607.42",,,,,,,,,
Dozmat,Vas megye,Vas megye 1. számú egyéni választókerület,Szombathely,"1","1","94712.08","228249027.58",,,,,,,,,
